iter	Passed	Remaining
0	0	90
1	1	83
2	2	77
3	2	70
4	3	69
5	4	67
6	4	65
7	5	64
8	6	63
9	6	62
10	7	61
11	8	60
12	8	60
13	9	59
14	10	60
15	11	59
16	12	59
17	13	59
18	13	58
19	14	58
20	15	57
21	16	56
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	20	51
29	21	50
30	22	49
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	35
51	37	34
52	38	33
53	40	34
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	28
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
